,Px_inv,Px_spouse,b1(i),b2(i),Vk,P(0),P(1),P(2)
0,1.0,1.0,4050.0000000000005,3600.0,1.0,0.0,0.0,1.0
1,0.98145,0.99851,4049.8110000000006,3599.811,0.9661835748792271,0.0,0.0006300000000000194,0.99937
2,0.9626846760000001,0.9968524734,4049.6041304100004,3599.60413041,0.933510700366403,0.0,0.0013195652999999918,0.9986804347
3,0.9437197878828,0.9950082963242101,4049.3764312708886,3599.376431270888,0.9019427056680224,0.0,0.0020785624303719663,0.997921437569628
4,0.9245622761887792,0.9929585792337823,4049.1279488329337,3599.1279488329337,0.8714422276985724,0.0,0.0029068372235547812,0.9970931627764452
5,0.905211187748148,0.9906847040873369,3750.0,3300.0000000000005,0.8419731668585241,0.0,1.0,0.0
6,0.8856676782046655,0.9881683649389551,3749.955,3300.0225000000005,0.8135006443077528,0.00014999999999998348,0.99985,0.0
7,0.8659172889807015,0.9853916118334767,3749.91000675,3300.0449966250003,0.7859909606838192,0.0002999774999999927,0.9997000225,0.0
8,0.8459492362968066,0.9823368978367929,3749.86202114892,3300.0689894255406,0.7594115562162506,0.0004599295036000761,0.9995400704963999,0.0
9,0.8257395090416759,0.9789674822772126,3749.8110446053247,3300.094477697338,0.733730972189614,0.0006298513155844621,0.9993701486844155,0.0
10,0.8052776840076232,0.9752669851942047,3749.7570786172955,3300.1214606913527,0.7089188137097722,0.0008097379423476214,0.9991902620576524,0.0
11,0.7845337308675868,0.9712001218659448,3749.7001247723583,3300.1499376138213,0.6849457137292485,0.0009995840921386279,0.9990004159078614,0.0
12,0.7634846908684094,0.9667423133065802,3749.637187746156,3300.1814061269224,0.661783298289129,0.0012093741794793056,0.9987906258205207,0.0
13,0.7420994846771853,0.961860264624382,3749.571267564852,3300.2143662175745,0.6394041529363566,0.0014291081171597941,0.9985708918828402,0.0
14,0.7203485487812971,0.9565219401557167,3749.499370460637,3300.2503147696825,0.617781790276673,0.0016687651312117247,0.9983312348687883,0.0
15,0.69820503439176,0.9506871563207668,3449.9999999999995,3449.9999999999995,0.596890618624805,1.0,0.0,0.0
16,0.6756390476802183,0.9442985386302913,3449.9999999999995,3449.9999999999995,0.5767059117147875,1.0,0.0,0.0
17,0.6526335381067069,0.9373107294444272,3449.9999999999995,3449.9999999999995,0.5572037794345772,1.0,0.0,0.0
18,0.6291648360763897,0.9296716469994551,3449.9999999999995,3449.9999999999995,0.5383611395503163,1.0,0.0,0.0
19,0.6052188224153223,0.92131389889293,3449.9999999999995,3449.9999999999995,0.520155690386779,1.0,0.0,0.0
20,0.5807861385544157,0.9121836781549011,3449.9999999999995,3449.9999999999995,0.5025658844316706,1.0,0.0,0.0
21,0.5558704132104313,0.9022226323894496,3449.9999999999995,3449.9999999999995,0.485570902832532,1.0,0.0,0.0
22,0.5304838114391109,0.8913508496691567,3449.9999999999995,3449.9999999999995,0.4691506307560696,1.0,0.0,0.0
23,0.5046492498220263,0.8795047968770535,3449.9999999999995,3449.9999999999995,0.4532856335807436,1.0,0.0,0.0
24,0.4784024423387827,0.8666024615068671,3449.9999999999995,3449.9999999999995,0.4379571338944383,1.0,0.0,0.0
25,0.4517936984958996,0.8525721676550709,3449.9999999999995,3449.9999999999995,0.4231469892699887,1.0,0.0,0.0
26,0.4248893837504688,0.8373367030190748,3449.9999999999995,3449.9999999999995,0.4088376707922597,1.0,0.0,0.0
27,0.3977771921733514,0.8208244232355387,3449.9999999999995,3449.9999999999995,0.395012242311362,1.0,0.0,0.0
28,0.37055332114100725,0.8029550755417011,3449.9999999999995,3449.9999999999995,0.3816543403974513,1.0,0.0,0.0
29,0.3433398852364117,0.7836680946271894,3449.9999999999995,3449.9999999999995,0.36874815497338287,1.0,0.0,0.0
30,0.31626753528552065,0.7628852167576764,3449.9999999999995,3449.9999999999995,0.3562784106023023,1.0,0.0,0.0
31,0.2894828377221899,0.7405631953153469,3449.9999999999995,3449.9999999999995,0.3442303484080216,1.0,0.0,0.0
32,0.2631485839746023,0.7166578153705675,3449.9999999999995,3449.9999999999995,0.33258970860678416,1.0,0.0,0.0
33,0.23742844137692465,0.6911376305652216,3449.9999999999995,3449.9999999999995,0.3213427136297432,1.0,0.0,0.0
34,0.21249845503234757,0.6639966558129253,3449.9999999999995,3449.9999999999995,0.31047605181617705,1.0,0.0,0.0
35,0.1885307542892491,0.6352456006162257,3449.9999999999995,3449.9999999999995,0.2999768616581421,1.0,0.0,0.0
36,0.16569402402219235,0.6049316805548194,3449.9999999999995,3449.9999999999995,0.2898327165779151,1.0,0.0,0.0
37,0.14414551619810623,0.573136471424858,3449.9999999999995,3449.9999999999995,0.28003161022020784,1.0,0.0,0.0
38,0.12402568504717455,0.5399690638235015,3449.9999999999995,3449.9999999999995,0.2705619422417467,1.0,0.0,0.0
39,0.10545407896821064,0.505583833839221,3449.9999999999995,3449.9999999999995,0.2614125045813978,1.0,0.0,0.0
40,0.08852131750828506,0.47017779795546033,3449.9999999999995,3449.9999999999995,0.2525724681945873,1.0,0.0,0.0
41,0.07328768397828428,0.4339741075128899,3449.9999999999995,3449.9999999999995,0.24403137023631621,1.0,0.0,0.0
42,0.05977856519056714,0.3972425390529989,3449.9999999999995,3449.9999999999995,0.23577910167760022,1.0,0.0,0.0
43,0.047982460921512524,0.36028706564489843,3449.9999999999995,3449.9999999999995,0.22780589534067658,1.0,0.0,0.0
44,0.03785288359637201,0.32346212466533336,3449.9999999999995,3449.9999999999995,0.22010231433881797,1.0,0.0,0.0
