age,lx,dx,px,qx,Lx,Tx,mx,e0x,ex,mux
15,1003027.0,974.0,0.9990289394004349,0.0009710605995650878,2005080.0,122448669.0,0.00048576615396891894,122.07913545697174,121.57913545697174,0.0009655721834528362
16,1002053.0,987.0,0.9990150221595065,0.0009849778404934506,2003119.0,120443589.0,0.0004927315850930474,120.19682491844243,119.69682491844243,0.0009784794601961546
17,1001066.0,1001.0,0.9990000659297189,0.0009999340702810944,2001131.0,118440470.0,0.0005002171272145601,118.314346906198,117.814346906198,0.0009926973636440678
18,1000065.0,1017.0,0.9989830661007034,0.0010169338992965793,1999113.0,116439339.0,0.0005087256198123868,116.43177093488923,115.93177093488923,0.001008358977048214
19,999048.0,1033.0,0.9989660156468958,0.0010339843531042003,1997063.0,114440226.0,0.0005172595957163095,114.54927691161986,114.04927691161986,0.0010256108971586247
20,998015.0,1053.0,0.9989449056376908,0.0010550943623092168,1994977.0,112443163.0,0.0005278256340799919,112.66680661112308,112.16680661112308,0.0010446146064072004
21,996962.0,1073.0,0.998923730292629,0.0010762697073709582,1992851.0,110448186.0,0.0005384245987281538,110.78475007071484,110.28475007071484,0.0010655479844250174
22,995889.0,1096.0,0.9988994757447868,0.001100524255213231,1990682.0,108455335.0,0.0005505650827203943,108.90303537844078,108.40303537844078,0.0010886069730416564
23,994793.0,1121.0,0.998873132400409,0.0011268675995910193,1988465.0,106464653.0,0.0005637514364094917,107.02191611722237,106.52191611722237,0.001114007410351379
24,993672.0,1149.0,0.9988436828249161,0.0011563171750839096,1986195.0,104476188.0,0.0005784930482656536,105.1415235610946,104.6415235610946,0.0011419870510134846
25,992523.0,1180.0,0.9988111106745133,0.001188889325486664,1983866.0,102489993.0,0.0005947982373809521,103.26208359907025,102.76208359907025,0.0011728077916973822
26,991343.0,1214.0,0.9987753986259045,0.0012246013740955242,1981472.0,100506127.0,0.0006126758288787326,101.38380661385615,100.88380661385615,0.0012067581225031166
27,990129.0,1251.0,0.9987365282705587,0.0012634717294413012,1979007.0,98524655.0,0.0006321352072024,99.50688748637803,99.00688748637803,0.0012441558273032802
28,988878.0,1292.0,0.9986934687595437,0.0013065312404563212,1976464.0,96545648.0,0.0006536926551659934,97.63150560534262,97.13150560534262,0.0012853509582822086
29,987586.0,1338.0,0.998645181280415,0.0013548187195849826,1973834.0,94569184.0,0.0006778685542958527,95.75792285431345,95.25792285431345,0.0013307291125149157
30,986248.0,1387.0,0.9985936600124918,0.001406339987508165,1971109.0,92595350.0,0.0007036647897198987,93.88647682935732,93.38647682935732,0.001380715041255393
